Date/Time,Open,High,Low,Close,MACD,MACD_signal,MACD_hist,K,D,J,ATR (14),ATR (200),Supply Zone,Demand Zone,Entry Price,Stop Loss,Take Profit,Exit Price,Trade Status,Running PnL %
2023-12-23 00:00:00,43671.1,43992,43481.14,43640.79,350.5957935,383.3865008,-32.79070725,38.86076739,51.01341035,14.55548146,637.45,546.78,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-23 04:00:00,43640.79,44048.16,43617.44,43969.04,352.8294704,377.2750947,-24.44562431,45.3209765,49.1159324,37.73106471,559.24,548.02,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-23 08:00:00,43969.04,43988.68,43456,43526.43,315.2507332,364.8702224,-49.61948918,35.27401197,44.50195892,16.81811805,542.72,548.30,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-23 12:00:00,43526.43,43650.1,43291.1,43562.32,285.0791217,348.9120023,-63.83288058,31.68164498,40.22852094,14.58789306,526.78,546.60,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-23 16:00:00,43562.31,43669.88,43490.01,43547.78,257.0317437,330.5359505,-73.50420683,28.848977,36.43533963,13.67625174,507.89,545.78,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-23 20:00:00,43547.78,43856,43547.77,43756.24,248.7574534,314.1802511,-65.42279774,33.23664955,35.3691096,28.97172944,499.46,546.23,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-24 00:00:00,43756.24,43850,43695.03,43703.81,235.2574543,298.3956918,-63.13823742,40.3293776,37.02253227,46.94306826,473.33,545.21,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-24 04:00:00,43703.82,43835.94,43632.77,43702.16,221.8679115,283.0901357,-61.22222424,44.98521351,39.67675935,55.60212182,426.24,542.15,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-24 08:00:00,43702.15,43907.57,43606.18,43834.48,219.4045612,270.3530208,-50.94845959,53.91515048,44.42288973,72.899672,407.96,538.97,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-24 12:00:00,43834.48,43946,43401,43651.17,200.3512291,256.3526625,-56.00143334,51.79730697,46.88102881,61.6298633,406.52,540.02,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-24 16:00:00,43651.17,43694.72,43405,43634.2,181.7864678,241.4394235,-59.65295577,50.9263123,48.22945664,56.32002361,389.46,539.74,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-24 20:00:00,43634.19,43864.08,43560.74,43680.23,168.841695,226.9198778,-58.07818285,53.75695213,50.07195513,61.12694612,349.43,540.06,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-25 00:00:00,43680.23,43713.86,43550,43618.07,151.8170246,211.8993072,-60.08228256,49.11442068,49.75277698,47.83770809,334.26,539.54,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-25 04:00:00,43618.08,43618.08,42500,42991.5,86.76570709,186.8725872,-100.1068801,44.07305316,47.85953571,36.50008807,385.78,540.23,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-25 08:00:00,42991.5,43158.59,42720.43,43152.78,47.67643318,159.0333564,-111.3569232,44.42998381,46.71635174,39.85724793,380.59,537.82,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-25 12:00:00,43152.78,43335.13,43101.53,43208.15,20.92459255,131.4116036,-110.487011,45.94433222,46.4590119,44.91497285,366.51,531.82,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-25 16:00:00,43208.15,43291.05,43045.43,43171.11,-3.228041473,104.4836746,-107.7117161,46.10004813,46.33935731,45.62142976,346.00,529.31,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-25 20:00:00,43171.11,43802.32,43080.01,43618,13.53508619,86.2939569,-72.75887072,56.50561069,49.72810844,70.0606152,371.95,531.75,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-26 00:00:00,43618.01,43710.01,43343.83,43474.25,15.0471083,72.04458718,-56.99747888,61.47766183,53.64462624,77.14373303,385.26,531.67,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-26 04:00:00,43474.25,43720.96,43328.14,43576.13,24.18744348,62.47315844,-38.28571496,67.28195265,58.19040171,85.46505453,391.30,531.58,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-26 08:00:00,43576.12,43592.68,43362.23,43451.46,21.12784918,54.20409659,-33.07624741,69.20758471,61.86279604,83.89716204,396.69,527.44,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-26 12:00:00,43451.45,43474.26,42545,42774.12,-35.54286258,36.25470476,-71.79756734,53.15458654,58.96005954,41.54364054,448.56,528.85,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-26 16:00:00,42774.12,42798,42150,42685.55,-86.60335912,11.68309198,-98.2864511,46.24039187,54.72017032,29.28083497,473.31,530.62,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
2023-12-26 20:00:00,42685.56,42827.68,42250,42391.5,-149.0780688,-20.46914018,-128.6089287,35.69886555,48.37973539,10.33712586,475.65,532.78,,40555.00 - 41506.00 | bar 4266 | 2023-12-13 08:00:00,,,,,,
