Date/Time,Open,High,Low,Close,MACD,MACD_signal,MACD_hist,K,D,J,ATR (14),ATR (200),Supply Zone,Demand Zone,Entry Price,Stop Loss,Take Profit,Exit Price,Trade Status,Running PnL %
2025-06-19 16:00:00,104642.85,105073.53,104631.26,104776.23,-407.7151268,-357.118377,-50.59674983,55.84967454,47.43663995,72.67574373,1137.00,1179.73,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-19 20:00:00,104776.23,104917.05,104078,104096.93,-447.7406437,-375.2428303,-72.49781337,46.93801702,47.27043231,46.27318644,1109.12,1181.81,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-20 00:00:00,104096.94,104814.73,103929.27,104250.44,-461.7513974,-392.5445437,-69.20685369,44.99244713,46.51110391,41.95513356,1078.47,1182.16,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-20 04:00:00,104250.45,104898.31,104150,104658.59,-434.9073851,-401.017112,-33.89027314,51.1468062,48.05633801,57.32774258,1008.27,1183.20,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-20 08:00:00,104658.59,104820,104391.38,104596.63,-413.8622201,-403.5861336,-10.27608651,55.27442544,50.46236715,64.89854203,898.47,1182.40,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-20 12:00:00,104596.64,105825.66,104238.02,105811.74,-295.7256126,-382.0140294,86.28841685,69.96948545,56.96473992,95.97897651,962.23,1187.46,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-20 16:00:00,105811.74,106524.65,105757.48,105977.82,-186.5498019,-342.9211839,156.371382,72.9565364,62.29533874,94.2789317,955.57,1189.77,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-20 20:00:00,105977.82,106149.17,103888,104217.99,-239.2725736,-322.1914619,82.91888822,52.80952514,59.13340088,40.16177367,1057.29,1197.61,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,103513.70 - 105333.00 | bar 939 | 2025-06-06 20:00:00,,,,,,
2025-06-21 00:00:00,104218,104269.64,102345,103307.22,-350.5068526,-327.85454,-22.65231261,42.88019838,53.71566671,21.20926172,1113.71,1205.80,106700.00 - 108952.38 | bar 1001 | 2025-06-17 04:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
2025-06-21 04:00:00,103307.21,103828,102963.67,103297.99,-434.3981327,-349.1632586,-85.23487416,36.18703658,47.87279,12.81552974,1067.47,1200.22,105757.48 - 106524.65 | bar 1022 | 2025-06-20 16:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
2025-06-21 08:00:00,103297.98,103691.67,103127.48,103495.87,-479.3892139,-375.2084496,-104.1807643,33.30305128,43.01621043,13.87673299,1012.29,1192.40,105757.48 - 106524.65 | bar 1022 | 2025-06-20 16:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
2025-06-21 12:00:00,103495.86,103599.04,103330,103458.5,-512.1565942,-402.5980785,-109.5585156,31.08236308,39.03826131,15.17056662,925.23,1176.87,105757.48 - 106524.65 | bar 1022 | 2025-06-20 16:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
2025-06-21 16:00:00,103458.5,103982.64,103458.49,103874.64,-498.7961474,-421.8376923,-76.9584551,32.92068297,36.99906853,24.76391185,907.74,1161.62,105757.48 - 106524.65 | bar 1022 | 2025-06-20 16:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
2025-06-21 20:00:00,103874.63,103946.47,103281.82,103560.9,-507.6719667,-439.0045472,-68.66741948,31.64410618,35.21408108,24.50415637,912.19,1156.05,105757.48 - 106524.65 | bar 1022 | 2025-06-20 16:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
